AGE,GENDER,COUNTRY_WORKING_IN,WFH
39,Male,United Kingdom,Sometimes
29,male,United States of America,Never
38,Male ,United Kingdom,Always
43,male,United Kingdom,Sometimes
43,Female,United States of America,Sometimes
42,Male,United Kingdom,Sometimes
30,M,United States of America,Sometimes
37,female,United States of America,Always
44,Female,United States of America,Sometimes
30,Male,United States of America,Always
28,Male,United States of America,Never
34,Male,United States of America,Sometimes
30,Female,United States of America,Always
44,Male,Canada,Sometimes
35,Male,United States of America,Always
52,m,United States of America,Sometimes
32,I identify as female.,Canada,Always
34,Male,United Kingdom,Never
25,female ,United States of America,Always
31,M,United States of America,Sometimes
26,Male,United States of America,Sometimes
35,male,United States of America,Never
25,male,Germany,Sometimes
33,Male,Canada,Sometimes
38,Male,United States of America,Sometimes
42,male,Germany,Never
27,Male,Netherlands,Sometimes
35,male,Germany,Never
34,female,United Kingdom,Never
32,Bigender,United Kingdom,Never
32,non-binary,Germany,Never
30,Male,United States of America,Sometimes
31,Male,United States of America,Never
37,Male ,Czech Republic,Sometimes
36,Male,United Kingdom,Sometimes
33,Male,Germany,Never
44,Male,United States of America,Always
29,male,United Kingdom,Never
29,male,United Kingdom,Sometimes
44,Male,Canada,Always
34,Male,United States of America,Sometimes
40,male,United States of America,Always
46,Female assigned at birth ,Netherlands,Never
28,M,Lithuania,Sometimes
41,Male,United States of America,Never
33,male,United States of America,Sometimes
32,Male,United States of America,Sometimes
45,Male,United States of America,Sometimes
43,male,United Kingdom,Sometimes
37,F,United States of America,Always
37,M,Australia,Never
27,Male,United States of America,Sometimes
31,Male,Netherlands,Sometimes
36,Male,United States of America,Sometimes
34,Male,United States of America,Always
31,Woman,United States of America,Sometimes
30,Male,United States of America,Never
32,Male,Canada,Never
40,female,United States of America,Sometimes
40,Male,United States of America,Sometimes
41,man,France,Sometimes
27,Male,United Kingdom,Never
30,Male,United States of America,Sometimes
29,Male,Venezuela,Always
38,Male,United Kingdom,Sometimes
35,male,Netherlands,Sometimes
35,female,United States of America,Never
29,M,United States of America,Always
28,Male,United States of America,Never
27,Male,Netherlands,Sometimes
39,Male,Poland,Sometimes
28,male,Belgium,Sometimes
46,Male,United States of America,Sometimes
40,male,Netherlands,Sometimes
37,Male,United States of America,Always
41,Male,Netherlands,Sometimes
19,M,France,Never
38,F,Netherlands,Never
33,Male ,United States of America,Sometimes
33,Male,United States of America,Always
21,male,United Kingdom,Never
36,Male,Brazil,Never
39,Male,Canada,Sometimes
35,Male,United States of America,Sometimes
36,male,France,Sometimes
45,Male,United States of America,Never
41,Male,Canada,Never
35,Male,United Kingdom,Sometimes
30,Male,United States of America,Sometimes
24,Female,United States of America,Sometimes
33,Male,Brazil,Never
35,male,United States of America,Sometimes
26,Male,United Kingdom,Sometimes
17,male,Brazil,Always
29,Female,United States of America,Sometimes
26,Male,United States of America,Sometimes
36,female,United States of America,Always
46,M,United States of America,Sometimes
39,Male,Netherlands,Sometimes
28,Female,United States of America,Sometimes
40,Male,United States of America,Sometimes
23,Male,United States of America,Sometimes
30,Male,United States of America,Sometimes
28,fm,United States of America,Sometimes
27,Male,Netherlands,Never
31,m,United States of America,Always
39,f,United States of America,Never
34,Female,United States of America,Always
30,Male,United States of America,Sometimes
30,male,Denmark,Never
31,Male,United States of America,Sometimes
30,M,United States of America,Always
32,Male,United States of America,Sometimes
22,Male,Czech Republic,Sometimes
37,Female,Belgium,Always
51,Male,United States of America,Sometimes
26,Male,United States of America,Sometimes
41,f,United States of America,Sometimes
39,F,United States of America,Sometimes
43,M,United States of America,Sometimes
30,M,United Kingdom,Sometimes
24,Female,United States of America,Sometimes
30,m,Netherlands,Sometimes
28,Cis female ,Germany,Sometimes
48,Female,United States of America,Sometimes
55,Female,United States of America,Always
36,F,United States of America,Sometimes
38,Male,Netherlands,Sometimes
34,Male,France,Sometimes
44,Female,United States of America,Sometimes
45,Male,United States of America,Sometimes
45,M,United States of America,Sometimes
30,male,United States of America,Sometimes
34,Male,United States of America,Sometimes
37,Male,United States of America,Sometimes
38,Male,United States of America,Sometimes
31,Male,United States of America,Sometimes
33,Male,United States of America,Always
29,female,United States of America,Sometimes
35,M,United States of America,Sometimes
42,"Transitioned, M2F",Canada,Always
26,Female,United States of America,Sometimes
36,f,United States of America,Always
21,male,United Kingdom,Never
34,F,United States of America,Sometimes
40,M,Germany,Always
35,Male,United States of America,Sometimes
44,Male,United States of America,Sometimes
35,Genderfluid (born female),Canada,Sometimes
45,m,United States of America,Sometimes
42,m,United States of America,Sometimes
40,Male,United States of America,Always
50,F,United States of America,Always
36,Male,United States of America,Always
31,female,United States of America,Always
29,Male,United States of America,Always
37,Male,United States of America,Never
31,m,United States of America,Sometimes
42,Male,Canada,Always
25,Male,United States of America,Sometimes
27,Male,United States of America,Sometimes
41,Female,United States of America,Never
41,Female,United States of America,Sometimes
55,F,United States of America,Never
21,Male,United States of America,Never
37,male,Netherlands,Never
34,female,Netherlands,Sometimes
40,Male,United Kingdom,Never
25,male,Netherlands,Always
36,male,Germany,Sometimes
25,Male,Germany,Never
35,male,United States of America,Always
37,male,United States of America,Always
45,Male,United States of America,Sometimes
26,Male,United States of America,Never
23,Male,United States of America,Sometimes
22,Female,United States of America,Sometimes
46,Female,United States of America,Always
31,Male,United Kingdom,Sometimes
27,Male,United States of America,Always
37,male,United Kingdom,Sometimes
37,Male,United Kingdom,Never
26,Other/Transfeminine,Netherlands,Sometimes
23,M,Netherlands,Never
40,Male,United States of America,Never
29,M,Denmark,Sometimes
37,Male,United States of America,Sometimes
34,female,United States of America,Never
40,male,United States of America,Sometimes
39,Male,United States of America,Sometimes
28,Male,United States of America,Always
28,male,Belgium,Sometimes
27,Male,Germany,Sometimes
48,Male,United Kingdom,Sometimes
49,Female,United States of America,Sometimes
35,Male,United Kingdom,Never
35,Male,Sweden,Sometimes
38,Male,United Kingdom,Always
32,Male,United States of America,Sometimes
42,Male,United States of America,Sometimes
33,female,United States of America,Always
35,Male,United Kingdom,Always
24,M,Russia,Sometimes
29,Female or Multi-Gender Femme,United States of America,Sometimes
29,Male,United States of America,Always
24,Male,United Kingdom,Sometimes
30,Male,Sweden,Always
30,male,United States of America,Always
44,male,United States of America,Always
37,Male,United Kingdom,Always
28,Male,Germany,Sometimes
42,Male,United States of America,Always
30,female,United Kingdom,Sometimes
36,m,Russia,Sometimes
30,male,Russia,Sometimes
29,Male,United States of America,Always
25,male,United States of America,Sometimes
25,Male,Belgium,Sometimes
24,Male,Russia,Never
25,m,Russia,Sometimes
31,Male ,Denmark,Never
37,M,Canada,Sometimes
35,Male,United States of America,Never
26,female,Spain,Sometimes
31,Male,United Kingdom,Always
29,female,United States of America,Always
33,M,France,Sometimes
30,M,India,Always
30,M,United States of America,Sometimes
29,female,United States of America,Never
25,Female,United States of America,Sometimes
27,Male,United States of America,Never
26,Male,Germany,Sometimes
38,Female,United States of America,Always
49,Male,United States of America,Sometimes
30,Male,United States of America,Sometimes
34,male,France,Sometimes
31,male,Russia,Never
29,Male,United States of America,Sometimes
31,m,Germany,Sometimes
34,male,Germany,Never
28,Male,United States of America,Sometimes
35,Female ,United Kingdom,Always
27,Male ,Germany,Always
33,m,Germany,Sometimes
37,Female,United States of America,Sometimes
45,Male,United Kingdom,Sometimes
31,woman,United States of America,Always
36,M,United States of America,Never
30,M,United States of America,Never
33,female,United Arab Emirates,Sometimes
45,female,Canada,Always
30,Female,United States of America,Sometimes
30,male,United States of America,Sometimes
29,Male,United States of America,Always
36,Male,Mexico,Sometimes
28,Male,United States of America,Never
36,Male,United States of America,Sometimes
37,female,United States of America,Sometimes
29,Male,United States of America,Sometimes
25,Male,United States of America,Sometimes
34,f,United States of America,Sometimes
37,M,Canada,Sometimes
40,Female,United States of America,Sometimes
32,Male,United States of America,Always
38,Male,United Kingdom,Never
31,Female,United States of America,Sometimes
28,female,United States of America,Sometimes
27,female,United Kingdom,Sometimes
28,female,United States of America,Sometimes
26,Male,Germany,Always
40,Male,United States of America,Sometimes
42,Male,United States of America,Sometimes
36,Male,United States of America,Never
44,male,United Kingdom,Never
24,Male,United States of America,Never
44,Male,United States of America,Never
31,Male,United States of America,Always
49,m,United States of America,Sometimes
27,female/woman,United States of America,Sometimes
27,Cis male,United States of America,Always
28,Male,United States of America,Sometimes
20,Female,United States of America,Never
41,Male ,Germany,Always
38,Male,Australia,Sometimes
29,male,United States of America,Never
44,f,United States of America,Always
31,Male.,United States of America,Sometimes
54,m,United States of America,Sometimes
33,m,Germany,Sometimes
29,male,Netherlands,Never
26,Androgynous,United Kingdom,Sometimes
26,male,United Kingdom,Never
34,Male,United Kingdom,Sometimes
38,Female,United States of America,Sometimes
30,Male,United Kingdom,Sometimes
34,Male,United Kingdom,Sometimes
47,F,Australia,Sometimes
33,Female,Switzerland,Sometimes
22,Male,United Kingdom,Sometimes
28,"male 9:1 female, roughly",United Kingdom,Never
31,m,United Kingdom,Always
24,N/A,United Kingdom,Sometimes
56,m,Australia,Sometimes
57,F,Australia,Always
39,M,United States of America,Always
21,Male,United Kingdom,Never
31,female,Russia,Sometimes
63,Male,United States of America,Always
46,male,Australia,Always
32,Female,United Kingdom,Never
35,m,United Kingdom,Sometimes
34,Male,United Kingdom,Sometimes
35,male,United States of America,Always
31,Male,Norway,Sometimes
35,F,United States of America,Always
36,Male,United States of America,Sometimes
50,Male,United States of America,Sometimes
31,Male,United States of America,Sometimes
47,male,United States of America,Never
32,Female,Canada,Never
23,Female,Canada,Never
43,Female,Canada,Sometimes
26,Female,Canada,Sometimes
26,female,Canada,Never
55,Female,Canada,Sometimes
27,Male,Canada,Never
34,Male,Argentina,Always
25,Male,India,Never
35,male,United States of America,Sometimes
37,Male,Netherlands,Sometimes
38,Female,United States of America,Sometimes
29,male,Canada,Never
28,Male,United Kingdom,Always
29,Male,United States of America,Always
40,male,United States of America,Always
25,Female,United States of America,Sometimes
29,Male,Sweden,Sometimes
29,F,United States of America,Sometimes
35,M,Netherlands,Sometimes
25,Male,United States of America,Sometimes
43,Male,United States of America,Sometimes
26,Male,Ireland,Never
31,male,Germany,Never
31,female,United States of America,Always
45,F,United States of America,Always
23,Male,Italy,Never
39,Male,United States of America,Never
27,Female,United States of America,Sometimes
28,Male,United States of America,Sometimes
36,Male,United States of America,Always
22,male,Germany,Never
51,Male,United States of America,Never
39,Male,Denmark,Sometimes
36,Male,United States of America,Sometimes
28,male,United States of America,Sometimes
