ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
0,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1,No,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"No, I don't think it would",Yes
2,No,1,,No,,"No, none did",N/A (not currently aware),Some did,Maybe,No
3,,,,,1,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
4,Yes,0,Yes,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
5,Yes,1,I am not sure,Yes,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
6,I don't know,1,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
7,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
8,I don't know,0,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
9,,,,,1,Some did,I was aware of some,None did,Maybe,Yes
10,Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
11,Yes,0,Yes,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
12,Yes,1,I am not sure,No,,Some did,"Yes, I was aware of all of them",Some did,"No, it has not",Yes
13,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
14,Yes,1,Yes,I don't know,,I don't know,"No, I only became aware later",None did,"No, it has not",Yes
15,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
16,Not eligible for coverage ,1,No,No,,"No, none did","No, I only became aware later",None did,"Yes, it has",Yes
17,No,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
18,,,,,1,,,,"Yes, it has",Yes
19,I don't know,0,No,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
20,No,1,,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
21,Yes,0,No,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
22,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,No
23,Yes,1,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
24,,,,,1,I don't know,"No, I only became aware later",None did,Maybe,No
25,Yes,0,Yes,Yes,,,,,Maybe,No
26,No,0,No,No,,"No, none did",I was aware of some,None did,"Yes, I think it would",Yes
27,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
28,I don't know,0,No,Yes,,I don't know,"No, I only became aware later",None did,"Yes, I think it would",Maybe
29,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
30,Not eligible for coverage ,1,Yes,No,,,,,"Yes, I think it would",Yes
31,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
32,I don't know,1,I am not sure,No,,,,,Maybe,Maybe
33,,,,,0,Some did,"No, I only became aware later",None did,Maybe,No
34,Yes,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
35,No,1,No,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
36,Yes,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
37,No,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Maybe
38,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
39,Yes,1,Yes,I don't know,,Some did,"No, I only became aware later",Some did,Maybe,No
40,,,,,1,"Yes, they all did","No, I only became aware later",Some did,"Yes, I think it would",Yes
41,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
42,Yes,1,I am not sure,No,,Some did,"No, I only became aware later",Some did,Maybe,Yes
43,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
44,No,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
45,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
46,,,,,1,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
47,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
48,,,,,0,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
49,Yes,1,Yes,No,,Some did,"Yes, I was aware of all of them","Yes, they all did",Maybe,Yes
50,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
51,Yes,1,Yes,No,,Some did,I was aware of some,Some did,Maybe,No
52,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,No
53,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
54,Yes,0,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
55,Yes,0,No,Yes,,Some did,N/A (not currently aware),Some did,Maybe,No
56,Yes,1,Yes,Yes,,,,,Maybe,Maybe
57,Yes,0,Yes,I don't know,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Maybe
58,Yes,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
59,I don't know,0,No,No,,"No, none did",I was aware of some,None did,Maybe,No
60,Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
61,Not eligible for coverage ,0,,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
62,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,Maybe,No
63,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
64,,,,,0,I don't know,N/A (not currently aware),Some did,Maybe,No
65,,,,,1,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
66,No,0,Yes,No,,"No, none did",I was aware of some,None did,"Yes, I think it would",Yes
67,Yes,1,I am not sure,Yes,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
68,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",No
69,No,0,Yes,I don't know,,"No, none did",N/A (not currently aware),"Yes, they all did",Maybe,Maybe
70,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,No
71,Yes,1,I am not sure,I don't know,,,,,Maybe,No
72,I don't know,0,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
73,No,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
74,Yes,1,Yes,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
75,No,1,,No,,Some did,N/A (not currently aware),None did,Maybe,No
76,,,,,0,,,,"No, I don't think it would",Yes
77,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),Some did,Maybe,No
78,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,No
79,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
80,Yes,1,Yes,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,No
81,No,1,No,No,,Some did,I was aware of some,None did,Maybe,Yes
82,,,,,0,"No, none did",I was aware of some,None did,Maybe,Yes
83,I don't know,1,I am not sure,I don't know,,,,,"No, I don't think it would",No
